Data File,Sample No.,7Li,9Be,23Na,24Mg,27Al,29Si,31P,33S,39K,43Ca,45Sc,47Ti,51V,52Cr,55Mn,57Fe,59Co,60Ni,63Cu,66Zn,75As,85Rb,88Sr,89Y,90Zr,107Ag,111Cd,118Sn,121Sb,133Cs,137Ba,139La,140Ce,141Pr,146Nd,147Sm,153Eu,157Gd,159Tb,163Dy,165Ho,166Er,169Tm,172Yb,175Lu,178Hf,181Ta,182W,197Au,205Tl,208Pb,209Bi,232Th,238U
160708-A,D565-1a    7/8/2016 10:44:25 AM,0.009514575,0.001277045,0.417371441,0.538997202,10.57441173,42.27574664,0.111956514,0.083175774,0.978182871,1.21335153,0.001204438,0.335117935,0.035273541,0.004926475,0.025077235,5.944956715,0.000699496,0.003227568,4.832176279,0.065516792,0.019310951,0.00265981,0.013138179,0.006447136,0.012540251,0.000728291,0.001617412,0.001960469,0.029900601,0.000271253,0.049273742,0.003998148,0.009596472,0.000992523,0.003790574,0.00075224,0.000147432,0.000762414,0.000126901,0.000852647,0.000165522,0.000515727,7.05681E-05,0.000404002,5.91019E-05,0.000353235,0.000238899,0.000565074,7.81167E-07,1.33271E-05,32.35574032,0.022018272,0.001998662,0.006827264
160708-A,D565-1b    7/8/2016 10:46:41 AM,0.010899321,0.001308779,0.394589897,0.606235935,10.32203209,39.85172962,0.115186458,-0.092697256,0.923690532,1.236579755,0.001316476,0.359078602,0.037341836,0.003130312,0.030952541,6.706043602,0.000855754,0.002754551,5.123205789,0.065398601,0.022883865,0.002525305,0.013060037,0.006757488,0.013018781,0.000800201,0.001815823,0.001644868,0.034404911,0.000211922,0.05738393,0.004159733,0.010368816,0.001059398,0.003958573,0.000782766,0.000161972,0.00077441,0.000137403,0.000894094,0.000181017,0.000510225,7.39384E-05,0.000424568,6.57137E-05,0.000383119,0.000262057,0.00063011,2.23103E-06,1.94218E-05,34.08752525,0.023938034,0.002090399,0.007456429
160708-A,D565-2a    7/8/2016 10:49:23 AM,0.009296578,0.001288134,0.506274513,0.632139423,10.84185698,41.3830253,0.107756323,0.412026652,1.031312319,1.278348083,0.001173548,0.324103552,0.039265291,0.006343351,0.025968121,7.315544761,0.000860447,0.00446874,4.955670857,0.080439383,0.023484352,0.002436376,0.011907387,0.005096677,0.043558292,0.000530148,0.001683155,0.002218779,0.036113025,0.000239834,0.028754864,0.004250634,0.010384555,0.001094723,0.004003426,0.000775695,0.000145652,0.000732949,0.000114767,0.000707043,0.000139524,0.000408992,5.66874E-05,0.000402872,5.92202E-05,0.00112044,0.000269823,0.000632821,1.84436E-06,1.71062E-05,30.82736714,0.024341842,0.002116706,0.007670289
160708-A,D565-2b    7/8/2016 10:51:39 AM,0.010337653,0.0013074,0.44268873,0.651208433,10.4629852,39.67041197,0.112093649,0.354490759,1.004028389,1.19405638,0.001177366,0.341686082,0.039944943,0.002520644,0.027367671,7.872572438,0.000895971,0.003717002,5.230718128,0.078379303,0.026097875,0.002371645,0.014121704,0.005159725,0.064856136,0.000622807,0.001645079,0.002028748,0.038857992,0.000220998,0.035023805,0.004389455,0.01102569,0.001133824,0.004244981,0.000836742,0.000162755,0.000798407,0.000114587,0.00077759,0.00013961,0.000423024,6.43436E-05,0.000408288,6.4674E-05,0.001739563,0.000281311,0.000687127,1.66658E-06,1.97064E-05,32.24312844,0.02557385,0.002153087,0.008236646
160708-A,D566-1a    7/8/2016 10:54:19 AM,0.008613187,0.000537345,0.429175069,0.850998321,12.43110655,44.21869602,0.167816458,0.28335243,1.099003754,1.053579233,0.00182945,0.792674224,0.020512457,0.00376767,0.013463194,1.928327507,0.001063623,0.001293795,5.491380277,0.025763337,0.0005133,0.002588619,0.008212617,0.001642296,0.014505558,0.000972649,0.001400386,0.002166913,0.015578727,0.00032349,0.010418066,0.001650759,0.003908381,0.000385428,0.001443307,0.000315111,7.15275E-05,0.00028155,4.19024E-05,0.000300209,5.71374E-05,0.000162556,2.15663E-05,0.000140892,2.22083E-05,0.000385641,9.48414E-05,0.000438751,1.1832E-06,3.03729E-05,31.10714851,0.000515349,0.000977602,0.000328685
160708-A,D566-1b    7/8/2016 10:56:35 AM,0.009944924,0.000431308,0.485013538,0.892404576,12.94947732,42.7356507,0.151365386,0.379891465,0.982275136,1.100479412,0.001660437,0.822875131,0.019834372,0.004706775,0.014205366,2.037718609,0.001203273,0.002038462,4.597725351,0.029370212,0.000612557,0.002156138,0.009889578,0.001626338,0.013615312,0.001101449,0.001579058,0.001751286,0.015780121,0.000264987,0.013258212,0.001678046,0.004008293,0.000410367,0.001465494,0.000268469,6.64862E-05,0.000267419,4.90573E-05,0.000280269,5.4927E-05,0.000154842,2.31803E-05,0.000154493,2.74998E-05,0.000357566,9.13195E-05,0.00046536,8.0819E-07,2.71291E-05,32.70846626,0.000503569,0.000957245,0.000315118
160708-A,D566-2a    7/8/2016 10:59:17 AM,0.007472943,0.000382035,0.375749541,0.809553189,12.1559085,46.6536026,0.148128796,0.533835867,1.312620676,1.00396727,0.001673157,0.443905554,0.010387815,0.002792851,0.012638293,1.828644017,0.001049188,0.001371907,5.437058009,0.024946002,0.000309969,0.003328836,0.006902276,0.001301009,0.008601619,0.001077829,0.001146429,0.001283778,0.014759906,0.000413551,0.009945997,0.001136967,0.002493579,0.000260848,0.000918727,0.000172477,5.07224E-05,0.000218505,3.69466E-05,0.000202012,4.63375E-05,0.000122678,1.74299E-05,0.000113708,1.6151E-05,0.000211872,7.02269E-05,0.000240592,4.45993E-07,2.67714E-05,29.17738246,0.000501755,0.000729513,0.000269858
160708-A,D566-2b    7/8/2016 11:01:31 AM,0.008795424,0.000709413,0.424345179,0.880110442,12.67404534,44.34404586,0.14954132,0.743138319,1.199168885,1.221969296,0.00159046,0.427298639,0.009955558,0.003521306,0.013803734,1.969578203,0.001199508,0.001832913,4.678892597,0.028066848,0.000549473,0.002726722,0.008966265,0.001311097,0.008345396,0.001234484,0.001365283,0.001296968,0.015035228,0.000340234,0.012124465,0.001197797,0.002621919,0.000281214,0.00097556,0.000183157,4.95981E-05,0.000241308,3.3245E-05,0.000200451,4.5505E-05,0.00013896,1.79776E-05,0.000111336,1.63889E-05,0.000206972,6.5607E-05,0.00026646,2.53288E-06,2.14131E-05,31.15684856,0.000496206,0.000756706,0.000316259
160708-A,D567-1a    7/8/2016 11:04:13 AM,0.024274949,0.000726982,0.474645808,0.808889293,12.9273963,51.01321074,0.597903356,0.297536439,2.80101547,1.203024858,0.001326328,0.31566509,0.014651161,0.002717543,3.014464697,1.278938973,0.000827545,0.000901816,21.76890808,0.026512737,0.012474752,0.0097205,0.053677718,0.002286853,0.013944174,0.004208728,3.96893E-05,0.000849055,0.004701231,0.002561702,0.093324795,0.00286912,0.006781958,0.000908265,0.004681698,0.000902727,0.000164997,0.000428524,5.67152E-05,0.000350987,7.43371E-05,0.00022384,3.01037E-05,0.000210561,2.75992E-05,0.000330842,5.83436E-05,0.000642889,2.09914E-06,4.97161E-05,3.208588843,7.10922E-05,0.000664097,0.000553289
160708-A,D567-1b    7/8/2016 11:06:27 AM,0.022630914,0.000449672,0.38394817,0.824763887,13.01842939,49.54572372,0.568182757,0.558938971,2.39981376,1.252687605,0.001369087,0.334529854,0.014473517,0.001706212,3.221517939,1.23626479,0.000705954,0.001148245,23.19274102,0.022830122,0.011955487,0.008839452,0.053672606,0.002503362,0.014883348,0.003959507,2.59308E-05,0.00071465,0.004546947,0.002397101,0.091892568,0.003037748,0.007188496,0.000973636,0.005149395,0.000943774,0.000159251,0.000444059,6.00504E-05,0.000370607,7.48397E-05,0.000225959,3.5957E-05,0.000215301,3.87355E-05,0.000334272,6.00395E-05,0.000576811,-1.99945E-07,4.93484E-05,3.180428328,5.79914E-05,0.000759801,0.000569248
