DataFile,SampleNo,7Li,9Be,23Na,24Mg,27Al,29Si,31P,33S,39K,43Ca,45Sc,47Ti,51V,52Cr,55Mn,57Fe,59Co,60Ni,63Cu,66Zn,75As,85Rb,88Sr,89Y,90Zr,107Ag,111Cd,118Sn,121Sb,133Cs,137Ba,139La,140Ce,141Pr,146Nd,147Sm,153Eu,157Gd,159Tb,163Dy,165Ho,166Er,169Tm,172Yb,175Lu,178Hf,181Ta,182W,197Au,205Tl,208Pb,209Bi,232Th,238U
160608-a,D097-2b    6/8/2016 2:29:51 PM,0.012566309,0.000293755,0.102386476,0.389936191,6.552906067,39.52189584,0.195164995,0.354823986,0.510738351,0.95551615,0.000649384,0.180298973,0.019831874,0.000788927,0.079090906,1.135845669,0.000395629,0.00049139,10.37146088,0.546947925,0.005181841,0.002847714,0.078026272,0.023774445,0.006892887,0.011113268,0.000147473,0.000383916,0.035311874,0.000166402,0.079494703,0.002764076,0.004281496,0.000586024,0.002546444,0.001333893,0.000398567,0.003087222,0.000522774,0.003330912,0.000610973,0.001459886,0.000154958,0.000770242,0.000101505,0.00017284,8.16E-05,0.000487265,1.32E-05,1.73E-05,38.79311046,0.002635126,0.000981599,0.005181171
160609-a,D157-1a    6/9/2016 12:30:41 PM,0.010782791,0.001604541,0.213732183,0.578142958,15.38410818,35.74530191,0.286799046,0.382297646,1.530479032,2.896038636,0.000735188,0.133190145,0.022552155,0.000608268,9.52486324,1.271883478,0.002308854,0.00308864,30.82779213,0.102740303,0.010889381,0.006590675,0.033438933,0.004848885,0.006789781,0.001050935,0.000677516,0.001074309,0.000786213,0.001158835,0.079413093,0.002716254,0.006778191,0.00069184,0.003369769,0.000953468,0.000249095,0.000990566,0.000150504,0.000938971,0.000168882,0.000456251,5.54E-05,0.000341406,0.000046849,0.000183515,2.54E-05,0.000953476,6.44E-07,4.37E-05,0.912801361,0.000297812,0.000471077,0.001547678
160609-a,D157-1b    6/9/2016 12:33:22 PM,0.021434388,0.001216508,0.314110458,0.537837148,14.2928276,39.36444897,0.262732455,0.418322902,1.822281914,2.323611774,0.000705283,0.147890193,0.014201368,0.000853566,5.816981947,2.194347793,0.002191113,0.00322903,31.30622072,0.087462323,0.012794351,0.007910785,0.032818375,0.003015854,0.00486359,0.00129105,0.000686966,0.001231911,0.001173187,0.001457469,0.105760139,0.002016778,0.004868936,0.000568165,0.00291906,0.000750791,0.000170205,0.000659002,9.75E-05,0.000577724,0.000108226,0.000285127,3.90E-05,0.0002079,2.82E-05,0.000140095,4.02E-05,0.000538125,7.85E-07,5.72E-05,0.878489233,0.000186,0.000422955,0.000917593
160609-a,D157-2a    6/9/2016 12:35:38 PM,0.016553275,0.001592081,0.244814078,0.485558687,14.20694617,39.05090234,0.266357104,0.348713717,1.58930964,1.711437072,0.00072056,0.147173378,0.014845739,0.000792048,5.660926746,2.039379474,0.001810667,0.001539646,33.00392137,0.087276014,0.014518796,0.00660898,0.029222686,0.003457397,0.005068613,0.001152785,0.00069456,0.001115288,0.000938326,0.001293122,0.097164765,0.002224645,0.005370654,0.000631802,0.003146356,0.000833197,0.000186439,0.000667983,0.000103505,0.000642414,0.000113275,0.00030869,4.48E-05,0.000243528,3.18E-05,0.00013263,3.98E-05,0.000611633,1.34E-06,4.77E-05,0.941100145,0.000204793,0.000468791,0.001038955
160609-a,D157-2b    6/9/2016 12:38:19 PM,0.005597022,0.002002744,0.806763111,1.459061619,16.76338666,36.41285999,0.208237161,0.868947125,1.621199963,4.088500831,0.001917409,0.484676484,0.033491874,0.047076003,18.69394526,6.19395049,0.002958264,0.004462938,1.667363447,0.163105925,0.014734142,0.005800631,0.058792855,0.004926383,0.013789972,0.00063066,0.000263173,0.000516886,0.008918074,0.000843801,0.267271263,0.003647992,0.010797398,0.000821609,0.003321383,0.000851806,0.00017863,0.000882579,0.000136193,0.000805543,0.000156512,0.000461652,0.000057826,0.000405006,6.15E-05,0.000353459,9.55E-05,0.000401204,2.17E-07,2.20E-05,10.06765756,0.000575171,0.001098947,0.001218159
160609-a,D158-1a    6/9/2016 12:40:33 PM,0.008275213,0.001942476,0.937506528,1.208073132,18.7627299,42.49166061,0.12605579,0.952986041,1.819763889,4.123182668,0.002129646,0.662135915,0.028260278,0.027965378,10.35046476,8.178820589,0.001897227,0.0027599,1.017664742,0.093600917,0.011296984,0.007222709,0.043352904,0.004446175,0.017707944,0.000739558,0.00013056,0.000402503,0.00353628,0.001198865,0.144827642,0.002809423,0.007644244,0.000570893,0.002345676,0.000525096,0.000128662,0.000632958,0.000101368,0.000643138,0.000140359,0.000375761,5.30E-05,0.000393516,5.71E-05,0.00042665,0.00010918,0.000365404,4.49E-07,3.06E-05,8.947634316,0.000372645,0.001089734,0.000812043
160609-a,D158-1b    6/9/2016 12:43:15 PM,0.004785675,0.002183083,0.772913416,1.115733052,15.27158782,34.72618357,0.235747514,1.383685045,1.702439923,3.56187868,0.001551932,0.412597226,0.035625515,0.047325852,23.27745726,5.53609203,0.002060016,0.002487606,2.089001937,0.134252111,0.010628281,0.006462712,0.058946675,0.005060057,0.014005357,0.000461979,0.000272278,0.000595794,0.01177779,0.001039228,0.258287018,0.003727131,0.011192981,0.000797188,0.003422093,0.000731589,0.000198425,0.00092232,0.000145772,0.000834223,0.000170454,0.000446787,6.48E-05,0.000388843,6.38E-05,0.000357946,8.28E-05,0.000327944,1.22E-06,2.44E-05,9.289688024,0.00082202,0.000977057,0.001485692
160609-a,D158-2a    6/9/2016 12:45:29 PM,0.008736375,0.001672472,0.966803815,1.102840445,18.22414621,43.05892728,0.123318794,1.236620858,1.916022088,3.856260892,0.002020699,0.610385285,0.030041711,0.030212758,12.22908127,8.080818,0.001441644,0.001944507,1.174895469,0.073279365,0.008993112,0.008172095,0.046364095,0.004656914,0.017070981,0.000626699,0.000234049,0.000493561,0.004417974,0.001447845,0.147671447,0.00271847,0.006122956,0.000546276,0.002293561,0.000548066,0.000109865,0.000644785,0.000109018,0.000687767,0.000144813,0.00039042,6.11E-05,0.000417505,5.65E-05,0.000480506,0.000110739,0.000275014,1.36E-06,3.59E-05,7.0122189,0.000431655,0.001031243,0.000944899
160609-a,D158-2b    6/9/2016 12:48:11 PM,0.011638777,0.001047368,0.238656608,0.941643201,12.04876338,36.90272111,0.134544254,0.211535344,1.270385174,0.950426211,0.002038389,0.524050922,0.017189803,0.004896215,0.042624495,4.810479425,0.001059324,0.002177371,14.13309672,0.380036648,0.023743931,0.008107156,0.018798547,0.004554962,0.013003501,0.002877625,0.001157778,0.000281547,0.026167781,0.001840559,0.022614752,0.003577665,0.00692685,0.000727465,0.002737847,0.000581316,0.000122691,0.000544829,9.76E-05,0.000733233,0.00015674,0.000490048,7.87E-05,0.000530322,0.000073988,0.000301373,9.08E-05,0.000438347,4.79E-07,1.22E-05,27.22179429,0.004203789,0.001088857,0.002531761
160609-a,D159-1a    6/9/2016 12:50:26 PM,0.010411111,0.001084422,0.234772127,0.821455336,12.61361211,38.58453379,0.118631925,0.185296775,1.570496986,0.972990578,0.001895489,0.475707184,0.015663461,0.003768828,0.036991739,4.609552806,0.001020144,0.002023281,13.16961656,0.344415075,0.021505547,0.009620586,0.024256955,0.004193223,0.013205911,0.003073871,0.000937059,0.00023335,0.019391981,0.002035328,0.026165063,0.003670161,0.006679863,0.000720095,0.002641646,0.000472876,0.000117321,0.000522602,8.91E-05,0.00066179,0.000141235,0.000459052,0.000070385,0.000462027,6.86E-05,0.000297066,8.99E-05,0.000413061,1.24E-06,1.17E-05,26.0771822,0.0034348,0.001019757,0.002214971
160609-a,D159-1b    6/9/2016 12:53:07 PM,0.01094705,0.000978045,0.252937417,0.950527826,12.61605996,39.50570472,0.1240025,0.331764213,1.280299053,0.940719892,0.002203695,0.482614277,0.028934534,0.004535343,0.050126402,4.551749837,0.001485321,0.002808634,13.7776314,0.597120038,0.027730645,0.008528443,0.02059505,0.005188997,0.015513628,0.003476985,0.001191124,0.000320571,0.013300414,0.002120883,0.016680644,0.004039736,0.007586159,0.000804469,0.003109603,0.000612511,0.000139124,0.000675105,0.00011432,0.00084717,0.000177446,0.00059065,0.000086788,0.000617754,9.01E-05,0.000401422,8.61E-05,0.000327129,8.59E-06,1.43E-05,24.34627779,0.001648471,0.001128064,0.002819729
160609-a,D159-2a    6/9/2016 12:55:21 PM,0.009048476,0.001155894,0.196948784,0.876253496,12.72275125,39.59026022,0.116008843,0.046434364,1.336431755,0.91709139,0.001931334,0.42620058,0.026144915,0.003110246,0.047256772,4.087706398,0.001372941,0.002379054,14.23086989,0.576573751,0.025033429,0.009528228,0.032021844,0.004657826,0.014085933,0.003556626,0.001260262,0.000227693,0.010274105,0.002383073,0.019747254,0.005296428,0.009223363,0.00091902,0.003426376,0.000649441,0.000122992,0.000576435,0.000110563,0.000757333,0.000157222,0.000540305,8.28E-05,0.000580453,7.78E-05,0.000346615,8.17E-05,0.000305584,1.37E-06,1.90E-05,24.63306731,0.001508211,0.001145738,0.002297358
160609-a,D159-2b    6/9/2016 12:58:03 PM,0.016380229,0.003009888,0.976861658,0.732545279,19.37249284,59.13005768,0.221751352,0.521966562,5.425420707,1.215771116,0.003012306,0.694605818,0.038305248,0.040376057,0.08999475,4.786782979,0.000893677,0.002145284,6.468066092,0.034295986,0.018245382,0.034865144,0.020862966,0.010059883,0.027043925,0.000120528,0.000255153,0.000522361,0.001089556,0.010052138,0.044324006,0.006066922,0.011193962,0.001265885,0.004952003,0.001137157,0.000245435,0.001237147,0.000231853,0.001679304,0.000376679,0.0011043,0.000154348,0.001005341,0.000147941,0.000621809,0.000158185,0.000692994,0,0.000122002,0.014119572,0.001885947,0.002116132,0.007308534
160609-a,D160-1a    6/9/2016 1:00:18 PM,0.013411133,0.002469544,0.769859833,1.068091838,20.87590042,50.2286176,0.180300468,0.781931671,4.449026609,1.170278413,0.003194573,0.876261412,0.035993511,0.031313812,0.182094399,8.134249582,0.001633614,0.004158876,10.93913589,0.05019706,0.016654737,0.029085309,0.0184586,0.009727124,0.025218992,9.84E-05,0.000203753,0.000568618,0.001389,0.00847141,0.038427445,0.005848477,0.010671237,0.001205609,0.004866838,0.001070873,0.000250256,0.001134625,0.000208153,0.001649749,0.000339106,0.001041833,0.000156818,0.000961378,0.000141276,0.00062599,0.000167937,0.000703971,1.46E-06,0.00011225,0.011985606,0.001521019,0.001973486,0.006938413
160609-a,D160-1b    6/9/2016 1:02:58 PM,0.01629944,0.002821606,0.973888163,0.846605478,19.22548847,57.6951474,0.219713639,0.278625625,5.638503931,1.000090572,0.002708465,0.643778462,0.035229685,0.011461433,0.090149086,5.859118689,0.001222286,0.002906363,7.174398448,0.048164954,0.018555899,0.038190901,0.02153142,0.007486436,0.029722674,7.90E-05,0.000239527,0.00045209,0.001057683,0.009576958,0.042463284,0.006348321,0.012311663,0.0013674,0.004934564,0.000980615,0.000215038,0.001047824,0.000180902,0.001246573,0.000268083,0.000827468,0.000105274,0.000707052,0.000106765,0.000723013,0.000152178,0.000691407,2.75E-07,0.000105446,0.021299143,0.001965918,0.001968346,0.006768663
